,test_acc,test_teacher/acc,test_loss,test_eval,train_acc,train_teacher/acc,train_loss,train_eval,epoch,lr,resume,epochs,pre,train_batch_size,test_batch_size,student,teacher,distillation,last_layer,student_layer,teacher_layer,layer,transform,dataset,exp_name
68,87.52,93.94,18.30600506746316,0.8946917377695253,49.956,49.85,14.817594662346803,5.3050023180139645,50,0.001,False,50,50,128,128,ResNet18,ResNet101,hint,"KD,T-8",10,26,0,"noise,0.2","cifar10,",noise/0.2
69,87.49,93.94,98.41646585585195,0.986979829925525,50.02,50.016,44.87176166349055,5.335689643459856,50,0.001,False,50,50,128,128,ResNet18,ResNet101,hint,"KD,T-8",23,56,1,"noise,0.2","cifar10,",noise/0.2
70,71.41,93.94,48703.95833539359,2.43680414972426,49.36,49.77,968.431985684368,5.192033939044494,50,0.001,False,50,50,128,128,ResNet18,ResNet101,hint,"KD,T-8",35,219,2,"noise,0.2","cifar10,",noise/0.2
71,13.34,93.94,30417.156798109223,9.229725433301322,13.964,49.678,376.94935103023755,8.699935410638599,50,0.001,False,50,50,128,128,ResNet18,ResNet101,hint,"KD,T-8",46,239,3,"noise,0.2","cifar10,",noise/0.2
72,87.28,93.94,0.02468258581018146,0.8335242022441912,50.136,50.006,0.0073706356860944984,5.2626594801997895,50,0.001,False,50,50,128,128,ResNet18,ResNet101,nst_linear,"KD,T-8",10,26,0,"noise,0.2","cifar10,",noise/0.2
73,87.9,93.94,0.026725505066068866,0.8560321619616279,49.892,49.83,0.006908072511215344,5.282309327893855,50,0.001,False,50,50,128,128,ResNet18,ResNet101,nst_linear,"KD,T-8",23,56,1,"noise,0.2","cifar10,",noise/0.2
74,88.32,93.94,0.018709088239488723,0.8745546578606472,50.024,49.948,0.0049561546380629245,5.298081889481801,50,0.001,False,50,50,128,128,ResNet18,ResNet101,nst_linear,"KD,T-8",35,219,2,"noise,0.2","cifar10,",noise/0.2
75,87.16,93.94,0.026042209230834924,0.9441009993794598,50.216,50.182,0.007135335060641589,5.26158654415394,50,0.001,False,50,50,128,128,ResNet18,ResNet101,nst_linear,"KD,T-8",46,239,3,"noise,0.2","cifar10,",noise/0.2
76,86.46,93.94,0.01720439515347722,1.0303507537781438,50.064,50.006,0.003657925556606763,5.278206141708452,50,0.001,False,50,50,128,128,ResNet18,ResNet101,PKT,"KD,T-8",10,26,0,"noise,0.2","cifar10,",noise/0.2
77,88.33,93.94,0.014675440785439708,0.8108871373571928,50.0,49.916,0.0037170097784465536,5.273709219130104,50,0.001,False,50,50,128,128,ResNet18,ResNet101,PKT,"KD,T-8",23,56,1,"noise,0.2","cifar10,",noise/0.2
78,87.62,93.94,0.015330613296054587,0.9147233023673673,49.952,49.842,0.003626259775055796,5.284965263303284,50,0.001,False,50,50,128,128,ResNet18,ResNet101,PKT,"KD,T-8",35,219,2,"noise,0.2","cifar10,",noise/0.2
79,87.67,93.94,0.015070431936485103,0.909312131661403,49.926,49.92,0.0036925035618159854,5.266032551865443,50,0.001,False,50,50,128,128,ResNet18,ResNet101,PKT,"KD,T-8",46,239,3,"noise,0.2","cifar10,",noise/0.2
80,51.55,93.94,0.09535074837600128,5.100688629512545,21.046,21.686,0.004099907508939314,12.874093624027184,50,0.001,False,50,50,128,128,MobileNet,ResNet101,att_max,"KD,T-8",6,26,0,"noise,0.30000000000000004","cifar10,",noise/0.30000000000000004
