,Unnamed: 0,distillation,epoch,epochs,lambda,last_layer,layer,lr,pre,resume,student,student_layer,teacher,teacher_layer,test_acc,test_batch_size,test_eval,test_loss,test_teacher/acc,train_acc,train_batch_size,train_eval,train_loss,train_teacher/acc
29,29,att_mean,88,100,1.0,KD,1,0.1,50,False,ResNet18,1.0,ResNet101,1.0,91.57,100,0.4716276031732559,0.0028277901001274586,90.68,97.20200000000001,128,0.09107017335589128,0.0013190624125473335,98.17200000000001
30,30,att_mean,97,100,1.0,KD,3,0.1,50,False,ResNet18,1.0,ResNet101,1.0,86.22,100,0.785274863243103,0.012551751644350587,90.68,90.228,128,0.4230886920143272,0.009878237856804488,98.274
31,31,att_mean,96,100,1.0,KD,0,0.1,50,False,ResNet18,1.0,ResNet101,1.0,91.33,100,0.449710982888937,0.002729290686547756,90.68,97.334,128,0.08624252040043967,0.0012536271170967873,98.178
0,0,PKT,99,100,1.0,KD-CE,2,0.1,50,False,ResNet18,1.0,ResNet101,1.0,50.77,100,1.342221269607544,42.97124565124512,90.68,48.256,128,1.4029987013858298,44.91727978250255,98.19
1,1,PKT,99,100,1.0,KD-CE,1,0.1,50,False,ResNet18,1.0,ResNet101,1.0,58.75,100,1.1469627052545548,36.721675395965576,90.68,54.854,128,1.252694476291042,40.106535265207896,98.352
2,2,PKT,99,100,1.0,KD-CE,3,0.1,50,False,ResNet18,1.0,ResNet101,1.0,66.7,100,0.9543136292696,30.555812892913817,90.68,69.712,128,0.8603275214009882,27.547619665980033,98.286
3,3,PKT,99,100,1.0,KD-CE,0,0.1,50,False,ResNet18,1.0,ResNet101,1.0,78.02,100,0.6730824142694474,21.551664686203004,90.68,80.482,128,0.5764992981005812,18.46162815045213,98.196
4,4,nst_linear,93,100,1.0,KD-CE,2,0.1,50,False,ResNet18,1.0,ResNet101,1.0,90.97,64,0.4577177782679439,14.692529319957563,90.68,98.04799999999999,64,0.060113939479269726,1.9678171837649991,98.262
5,5,nst_linear,97,100,1.0,KD-CE,1,0.1,50,False,ResNet18,1.0,ResNet101,1.0,87.09,64,0.4616486886694173,14.803621167589906,90.68,90.61399999999999,64,0.2915936910006625,9.361885987736684,98.204
6,6,nst_linear,87,100,1.0,KD-CE,3,0.1,50,False,ResNet18,1.0,ResNet101,1.0,90.78,64,0.4399613639351669,14.093306650022033,90.68,98.13,64,0.060226104100761214,1.942503846524393,98.30799999999999
7,7,nst_linear,99,100,1.0,KD-CE,0,0.1,50,False,ResNet18,1.0,ResNet101,1.0,61.56,64,1.1311027320327274,36.26057340536907,90.68,58.983999999999995,64,1.1424343684292817,36.62023683094308,98.23
8,8,nst_gauss,94,100,1.0,KD-CE,2,0.1,50,False,ResNet18,1.0,ResNet101,1.0,60.67,8,1.1460803654313088,36.77523577041626,90.68,59.001999999999995,8,1.1008270076584816,35.324292495193475,98.226
9,9,nst_gauss,99,100,1.0,KD-CE,1,0.1,50,False,ResNet18,1.0,ResNet101,1.0,9.97,8,2.92448756980896,93.50169868164062,90.68,10.32,8,2.3294810313224787,74.49758041931152,98.17399999999999
10,10,nst_gauss,93,100,1.0,KD-CE,3,0.1,50,False,ResNet18,1.0,ResNet101,1.0,50.22,8,1.2943101914644242,1.0,90.68,51.358000000000004,8,1.2916974584865573,1.0,98.24799999999999
11,11,nst_gauss,99,100,1.0,KD-CE,0,0.1,50,False,ResNet18,1.0,ResNet101,1.0,10.44,8,2.7856903261184693,89.06476191711425,90.68,9.982000000000001,8,2.327753409976959,74.48666273742677,98.26799999999999
12,12,nst_poly,96,100,1.0,KD-CE,2,0.1,50,False,ResNet18,1.0,ResNet101,1.0,84.86,64,0.4982138977973325,16.000842556072648,90.68,89.944,64,0.2992527023710482,9.632906218928754,98.286
13,13,nst_poly,99,100,1.0,KD-CE,1,0.1,50,False,ResNet18,1.0,ResNet101,1.0,85.35,64,0.4681209153999949,15.120374172356478,90.68,86.524,64,0.4049126518047069,13.091065100086926,98.24600000000001
14,14,nst_poly,97,100,1.0,KD-CE,3,0.1,50,False,ResNet18,1.0,ResNet101,1.0,84.27,64,0.5190217974269467,16.620577869901233,90.68,86.566,64,0.4102450411414246,13.140196569740315,98.27
15,15,nst_poly,95,100,1.0,KD-CE,0,0.1,50,False,ResNet18,1.0,ResNet101,1.0,84.72,100,0.501961669921875,17.159003620147704,90.68,87.98200000000001,128,0.3507335213825221,11.877119276529687,98.288
16,16,att_max,96,100,1.0,KD-CE,2,0.1,50,False,ResNet18,1.0,ResNet101,1.0,89.67,100,0.4304837213456631,13.788885345458985,90.68,97.99799999999999,128,0.061949321526147974,1.9966310803275888,98.256
17,17,att_max,86,100,1.0,KD-CE,1,0.1,50,False,ResNet18,1.0,ResNet101,1.0,89.57,100,0.5276359003782273,16.90009826183319,90.68,98.398,128,0.05123100427153242,1.6529963662671616,98.31
18,18,att_max,93,100,1.0,KD-CE,3,0.1,50,False,ResNet18,1.0,ResNet101,1.0,88.36,100,0.6386803537607193,20.52482394695282,90.68,97.944,128,0.06245279638692165,2.0846495320043905,98.262
19,19,att_max,84,100,1.0,KD-CE,0,0.1,50,False,ResNet18,1.0,ResNet101,1.0,89.59,100,0.4927814611792564,15.78274393081665,90.68,98.02600000000001,128,0.059732019803617774,1.9241207432373408,98.25399999999999
20,20,att_mean,99,100,1.0,KD-CE,2,0.1,50,False,ResNet18,1.0,ResNet101,1.0,77.4,100,0.6852779310941696,21.95083086967468,90.68,79.72,128,0.5964470653582716,19.10695206234827,98.2
21,21,att_mean,99,100,1.0,KD-CE,1,0.1,50,False,ResNet18,1.0,ResNet101,1.0,80.93,100,0.5987355560064316,19.17288061141968,90.68,84.22,128,0.4696473861899218,15.041879600271239,98.18
22,22,att_mean,99,100,1.0,KD-CE,3,0.1,50,False,ResNet18,1.0,ResNet101,1.0,54.8,100,1.3819472301006317,44.32429229736328,90.68,57.856,128,1.1722217417129166,37.6177670217841,98.28
23,23,att_mean,99,100,1.0,KD-CE,0,0.1,50,False,ResNet18,1.0,ResNet101,1.0,46.06,100,1.4756709337234497,47.243713569641116,90.68,42.506,128,1.5504576733045259,49.63747091854321,98.234
